CMDLINE python3 test/xmr4el/test_train_pipeline.py
MEM 0.917969 1760698651.2079
MEM 20.531250 1760698651.3082
MEM 49.585938 1760698651.4091
MEM 70.425781 1760698651.5141
MEM 83.808594 1760698651.6171
MEM 103.867188 1760698651.7181
MEM 122.890625 1760698651.8201
MEM 137.753906 1760698651.9212
MEM 190.894531 1760698652.0280
MEM 220.566406 1760698652.1291
MEM 261.101562 1760698652.2318
MEM 277.894531 1760698652.3321
MEM 287.648438 1760698652.4331
MEM 302.148438 1760698652.5391
MEM 312.367188 1760698652.6451
MEM 320.914062 1760698652.7511
MEM 321.414062 1760698652.8521
MEM 322.289062 1760698652.9581
MEM 322.414062 1760698653.0641
MEM 323.414062 1760698653.1651
MEM 323.539062 1760698653.2661
MEM 324.414062 1760698653.3671
MEM 324.539062 1760698653.4706
MEM 325.414062 1760698653.5719
MEM 339.191406 1760698653.6728
MEM 360.265625 1760698653.7732
MEM 365.765625 1760698653.8742
MEM 372.640625 1760698653.9816
MEM 389.304688 1760698654.0821
MEM 395.054688 1760698654.1832
MEM 404.804688 1760698654.2858
MEM 410.179688 1760698654.3864
MEM 412.929688 1760698654.4871
MEM 425.992188 1760698654.5891
MEM 456.261719 1760698654.6921
MEM 467.171875 1760698654.7931
MEM 485.199219 1760698654.8976
MEM 544.742188 1760698654.9983
MEM 563.402344 1760698655.1001
MEM 571.773438 1760698655.2017
MEM 593.757812 1760698655.3032
MEM 608.699219 1760698655.4061
MEM 674.699219 1760698655.5130
MEM 765.164062 1760698655.6189
MEM 865.519531 1760698655.7246
MEM 929.019531 1760698655.8300
MEM 948.187500 1760698655.9309
MEM 948.187500 1760698656.0359
MEM 857.871094 1760698656.1369
MEM 911.121094 1760698656.2379
MEM 911.121094 1760698656.3389
MEM 890.500000 1760698656.4400
MEM 948.250000 1760698656.5409
MEM 948.250000 1760698656.6419
MEM 796.667969 1760698656.7430
MEM 910.027344 1760698656.8438
MEM 911.027344 1760698656.9451
MEM 747.539062 1760698657.0458
MEM 928.500000 1760698657.1469
MEM 948.250000 1760698657.2480
MEM 948.250000 1760698657.3489
MEM 883.902344 1760698657.4498
MEM 911.027344 1760698657.5510
MEM 681.664062 1760698657.6518
MEM 912.500000 1760698657.7528
MEM 948.250000 1760698657.8540
MEM 948.250000 1760698657.9550
MEM 859.902344 1760698658.0558
MEM 911.027344 1760698658.1569
MEM 911.027344 1760698658.2580
MEM 904.500000 1760698658.3589
MEM 948.250000 1760698658.4629
MEM 948.250000 1760698658.5638
MEM 739.222656 1760698658.6649
MEM 895.902344 1760698658.7658
MEM 911.027344 1760698658.8670
MEM 768.707031 1760698658.9679
MEM 812.878906 1760698659.0688
MEM 886.796875 1760698659.1698
MEM 948.933594 1760698659.2708
MEM 949.078125 1760698659.3718
MEM 949.078125 1760698659.4729
MEM 949.078125 1760698659.5739
MEM 949.078125 1760698659.6748
MEM 859.457031 1760698659.7758
MEM 859.457031 1760698659.8770
MEM 859.457031 1760698659.9780
MEM 859.457031 1760698660.0788
MEM 859.457031 1760698660.1800
MEM 790.179688 1760698660.2809
MEM 916.507812 1760698660.3819
MEM 930.507812 1760698660.4868
MEM 930.507812 1760698660.5878
MEM 930.507812 1760698660.6888
MEM 930.507812 1760698660.7898
MEM 930.507812 1760698660.8910
MEM 930.507812 1760698660.9918
MEM 930.507812 1760698661.0928
MEM 930.507812 1760698661.1945
MEM 930.507812 1760698661.2950
MEM 930.507812 1760698661.3958
MEM 930.507812 1760698661.4969
MEM 936.507812 1760698661.5979
MEM 936.507812 1760698661.6988
MEM 936.507812 1760698661.7999
MEM 936.507812 1760698661.9008
MEM 936.507812 1760698662.0020
MEM 936.507812 1760698662.1030
MEM 936.507812 1760698662.2038
MEM 936.507812 1760698662.3049
MEM 936.507812 1760698662.4058
MEM 936.507812 1760698662.5068
MEM 936.507812 1760698662.6078
MEM 936.507812 1760698662.7088
MEM 936.507812 1760698662.8098
MEM 936.507812 1760698662.9109
MEM 956.507812 1760698663.0118
MEM 958.507812 1760698663.1129
MEM 974.507812 1760698663.2138
MEM 938.132812 1760698663.3149
MEM 938.132812 1760698663.4176
MEM 1005.535156 1760698663.5178
MEM 908.339844 1760698663.6188
MEM 913.730469 1760698663.7198
MEM 1162.558594 1760698663.8209
MEM 1315.917969 1760698663.9234
MEM 1156.058594 1760698664.0239
MEM 918.644531 1760698664.1298
MEM 922.867188 1760698664.2359
